# Luminosity, Color
1.5111e+00,6.2274e-02
1.3917e+00,4.4856e-01
1.0503e+00,1.4924e+00
1.3694e+00,4.2307e-01
1.3573e+00,5.7439e-01
1.2603e+00,1.0358e+00
1.3967e+00,4.6757e-01
1.1254e+00,1.3215e+00
1.2977e+00,7.7194e-01
8.1865e-01,1.9257e+00
9.1584e-01,1.8294e+00
1.1246e+00,1.3610e+00
1.4763e+00,1.0387e-01
1.3577e+00,6.9573e-01
1.4016e+00,5.1741e-01
1.3813e+00,6.1165e-01
1.1404e+00,1.3936e+00
1.2027e+00,1.1570e+00
1.3097e+00,1.1019e+00
1.0708e+00,1.6098e+00
1.0842e+00,1.5844e+00
1.2646e+00,1.1063e+00
1.4296e+00,3.6718e-01
1.2607e+00,8.8879e-01
1.4621e+00,2.3464e-01
1.3993e+00,6.4036e-01
1.2761e+00,9.9933e-01
1.0874e+00,1.5686e+00
1.3239e+00,1.1082e+00
8.7372e-01,1.7773e+00
1.1014e+00,1.5083e+00
1.3206e+00,9.1651e-01
1.4204e+00,3.6459e-01
1.4629e+00,1.2026e-01
1.1936e+00,1.1639e+00
1.1745e+00,1.3644e+00
1.2860e+00,1.1149e+00
1.4415e+00,2.0470e-01
1.4629e+00,2.1675e-01
1.3532e+00,8.4676e-01
1.0584e+00,1.5078e+00
1.3306e+00,8.5027e-01
1.3765e+00,5.3487e-01
1.4223e+00,3.0793e-01
1.2444e+00,1.3063e+00
1.4318e+00,5.2207e-01
1.2662e+00,8.9855e-01
1.2077e+00,1.0913e+00
1.4419e+00,4.0561e-01
9.2336e-01,1.8107e+00
1.0042e+00,1.5685e+00
1.1367e+00,1.3395e+00
1.2474e+00,1.1763e+00
1.4178e+00,6.5756e-01
9.2335e-01,1.8300e+00
8.6261e-01,1.8261e+00
1.4201e+00,4.6087e-01
1.1290e+00,1.4956e+00
1.1826e+00,1.3877e+00
1.2554e+00,9.8199e-01
1.4965e+00,1.4437e-01
1.2986e+00,1.1923e+00
1.5009e+00,6.7305e-02
8.3204e-01,1.9316e+00
1.3932e+00,5.7759e-01
1.4225e+00,6.7096e-01
1.2958e+00,1.1213e+00
1.4688e+00,1.4825e-01
1.2207e+00,1.2028e+00
1.3849e+00,7.4338e-01
1.3743e+00,9.1188e-01
1.1467e+00,1.2557e+00
1.0936e+00,1.4354e+00
1.2410e+00,1.3197e+00
1.0923e+00,1.5232e+00
1.0664e+00,1.4492e+00
1.3020e+00,8.4141e-01
1.4350e+00,3.6432e-01
1.2624e+00,1.0460e+00
1.0397e+00,1.6559e+00
1.3744e+00,3.8200e-01
1.3928e+00,6.1020e-01
1.3757e+00,9.4356e-01
1.4634e+00,2.7477e-01
1.1500e+00,1.2668e+00
1.0927e+00,1.5284e+00
1.2966e+00,8.9841e-01
1.4678e+00,2.2873e-01
1.4526e+00,1.7445e-01
1.3500e+00,4.6697e-01
1.2430e+00,1.1477e+00
1.3018e+00,1.0945e+00
1.2957e+00,7.9273e-01
1.2888e+00,1.0978e+00
1.4259e+00,5.7632e-01
9.3911e-01,1.7991e+00
1.3428e+00,1.0649e+00
8.2298e-01,1.9694e+00
1.3630e+00,5.3717e-01
1.3719e+00,6.6688e-01
9.6701e-01,1.7321e+00
1.2917e+00,1.1306e+00
8.2227e-01,1.8763e+00
1.3822e+00,8.5006e-01
8.1513e-01,1.9473e+00
1.2690e+00,9.8890e-01
1.4141e+00,3.1886e-01
1.3264e+00,6.1152e-01
1.3809e+00,6.2097e-01
1.3045e+00,8.9209e-01
1.3236e+00,1.0063e+00
1.0952e+00,1.3793e+00
1.1452e+00,1.4613e+00
1.4406e+00,4.4051e-01
8.0565e-01,1.9875e+00
1.3815e+00,6.8715e-01
1.2497e+00,1.1537e+00
1.1061e+00,1.4280e+00
1.2910e+00,8.1757e-01
1.2394e+00,1.0760e+00
1.3048e+00,1.1362e+00
1.1992e+00,1.3430e+00
1.3274e+00,6.6614e-01
1.3788e+00,8.9092e-01
1.0100e+00,1.5705e+00
8.6649e-01,1.8789e+00
1.2404e+00,1.2136e+00
1.4380e+00,3.4077e-01
9.6143e-01,1.7222e+00
1.3427e+00,1.0112e+00
1.3542e+00,7.0417e-01
1.3782e+00,7.0856e-01
1.3860e+00,8.9995e-01
9.4323e-01,1.7632e+00
1.3825e+00,3.8638e-01
1.3764e+00,5.6868e-01
1.4512e+00,2.0615e-01
1.3079e+00,6.6565e-01
1.2918e+00,1.1310e+00
1.4903e+00,1.4831e-01
1.3132e+00,9.0993e-01
1.3694e+00,7.7643e-01
1.2277e+00,1.1314e+00
1.1387e+00,1.4798e+00
1.0021e+00,1.5975e+00
1.4218e+00,3.3438e-01
1.3780e+00,4.6203e-01
1.3620e+00,9.3665e-01
1.3403e+00,7.7058e-01
9.4962e-01,1.6783e+00
1.4651e+00,1.4380e-01
9.6681e-01,1.6426e+00
1.3357e+00,7.0479e-01
8.5215e-01,1.8953e+00
1.2508e+00,1.0942e+00
1.1689e+00,1.4529e+00
1.3882e+00,7.3655e-01
1.4637e+00,2.0955e-01
1.4117e+00,4.2598e-01
1.2300e+00,1.0744e+00
1.4421e+00,1.6819e-01
1.1204e+00,1.3946e+00
1.1195e+00,1.3221e+00
1.2298e+00,1.3208e+00
1.2280e+00,1.0935e+00
1.2089e+00,1.1010e+00
1.4151e+00,5.8165e-01
8.6097e-01,1.8322e+00
1.3565e+00,4.7431e-01
1.0325e+00,1.5438e+00
1.3301e+00,8.9912e-01
1.4978e+00,1.4808e-01
1.2569e+00,1.0803e+00
1.3302e+00,1.0994e+00
9.2911e-01,1.8115e+00
1.1196e+00,1.3958e+00
8.5155e-01,1.9243e+00
1.2156e+00,1.3044e+00
1.4377e+00,2.1483e-01
1.4708e+00,1.5382e-01
1.2551e+00,9.3263e-01
1.1044e+00,1.4260e+00
1.2345e+00,1.2127e+00
1.3111e+00,9.7663e-01
8.7436e-01,1.8053e+00
1.2888e+00,9.2662e-01
1.1179e+00,1.3944e+00
1.0474e+00,1.5777e+00
1.4370e+00,3.1587e-01
1.3781e+00,6.1831e-01
1.3469e+00,9.6523e-01
1.3015e+00,7.2027e-01
1.2473e+00,9.5149e-01
1.3323e+00,7.6709e-01
1.5223e+00,2.9823e-02
1.3631e+00,6.0573e-01
1.5122e+00,7.7541e-02
1.0030e+00,1.5601e+00
1.1672e+00,1.2719e+00
1.4045e+00,3.8410e-01
1.3474e+00,4.8963e-01
1.4275e+00,3.7944e-01
1.2629e+00,1.1097e+00
1.3491e+00,8.9583e-01
1.3527e+00,5.8775e-01
1.0280e+00,1.5105e+00
1.3335e+00,9.0445e-01
1.0354e+00,1.5642e+00
1.0944e+00,1.4342e+00
1.3108e+00,1.0760e+00
1.3214e+00,8.6205e-01
1.3887e+00,8.1925e-01
1.4712e+00,1.0312e-01
1.3132e+00,9.0586e-01
1.0773e+00,1.5280e+00
1.3549e+00,6.1379e-01
1.4466e+00,2.7450e-01
1.3853e+00,5.1102e-01
1.3835e+00,7.6217e-01
1.0039e+00,1.7126e+00
1.2542e+00,1.1189e+00
1.3119e+00,9.3763e-01
1.1365e+00,1.2896e+00
1.1758e+00,1.4426e+00
1.4383e+00,3.8730e-01
1.0690e+00,1.6129e+00
1.4004e+00,3.1803e-01
8.2805e-01,1.9444e+00
1.0801e+00,1.5569e+00
9.6598e-01,1.7181e+00
1.3828e+00,8.7385e-01
1.2642e+00,9.0986e-01
1.4232e+00,2.3731e-01
1.3459e+00,1.0056e+00
1.3357e+00,1.0903e+00
1.2771e+00,9.8378e-01
1.3801e+00,6.1725e-01
1.0854e+00,1.4193e+00
1.0895e+00,1.5835e+00
1.3223e+00,9.2055e-01
1.5022e+00,6.9337e-02
1.1392e+00,1.2727e+00
1.1504e+00,1.3190e+00
1.4089e+00,5.0408e-01
1.1487e+00,1.3793e+00
1.2113e+00,1.3588e+00
1.0606e+00,1.5469e+00
1.3493e+00,9.2254e-01
1.2313e+00,1.0944e+00
1.4967e+00,6.5757e-02
1.0500e+00,1.5948e+00
1.4138e+00,6.2544e-01
1.1625e+00,1.3229e+00
1.3319e+00,7.2992e-01
1.3479e+00,9.1664e-01
1.4512e+00,2.6004e-01
9.8198e-01,1.6064e+00
1.3790e+00,5.9248e-01
1.0903e+00,1.5035e+00
1.1254e+00,1.3960e+00
1.4045e+00,3.7712e-01
1.3165e+00,7.3120e-01
1.3363e+00,1.0207e+00
1.2388e+00,1.3238e+00
1.3573e+00,8.2145e-01
1.3550e+00,9.3445e-01
1.2260e+00,1.2848e+00
9.2924e-01,1.7989e+00
8.5351e-01,1.8585e+00
1.3331e+00,6.1873e-01
1.2007e+00,1.3539e+00
1.2780e+00,1.1401e+00
1.3469e+00,6.4749e-01
1.0671e+00,1.5724e+00
1.2497e+00,1.2641e+00
1.3082e+00,1.1566e+00
9.6854e-01,1.7022e+00
1.0809e+00,1.4466e+00
1.4138e+00,5.4888e-01
1.2882e+00,1.1618e+00
1.0932e+00,1.5321e+00
1.0106e+00,1.5445e+00
1.4132e+00,5.7612e-01
1.1497e+00,1.3079e+00
1.4477e+00,3.8823e-01
1.1935e+00,1.3546e+00
1.2116e+00,1.3474e+00
1.3517e+00,8.7101e-01
1.0641e+00,1.4760e+00
1.3235e+00,8.6606e-01
1.0745e+00,1.4110e+00
8.7329e-01,1.8691e+00
1.0270e+00,1.5826e+00
1.4187e+00,3.4973e-01
1.1135e+00,1.4546e+00
1.0581e+00,1.6351e+00
1.4333e+00,5.2952e-01
1.3477e+00,7.4948e-01
1.3665e+00,5.7772e-01
1.1453e+00,1.2702e+00
9.3454e-01,1.7746e+00
1.3292e+00,1.0827e+00
9.1308e-01,1.7550e+00
8.9432e-01,1.8646e+00
1.4263e+00,5.6350e-01
9.0496e-01,1.8165e+00
1.2744e+00,9.1651e-01
8.2817e-01,1.8892e+00
1.2981e+00,7.5062e-01
1.3206e+00,6.9271e-01
1.1309e+00,1.3807e+00
8.7329e-01,1.8533e+00
1.2264e+00,1.1984e+00
9.2752e-01,1.8030e+00
1.2093e+00,1.1630e+00
1.1569e+00,1.4594e+00
1.2806e+00,1.0524e+00
1.3219e+00,6.2833e-01
1.2362e+00,1.0062e+00
1.4567e+00,1.8321e-01
1.2857e+00,1.0393e+00
1.3394e+00,5.7554e-01
1.2131e+00,1.1236e+00
1.3738e+00,4.8610e-01
1.3989e+00,7.7881e-01
1.1967e+00,1.3011e+00
9.4698e-01,1.7866e+00
1.2780e+00,1.1150e+00
1.2936e+00,8.4997e-01
1.1135e+00,1.4280e+00
9.6939e-01,1.7468e+00
1.5378e+00,5.6913e-03
1.4448e+00,1.9483e-01
1.2953e+00,9.6301e-01
1.0239e+00,1.6045e+00
1.2985e+00,1.0544e+00
1.4195e+00,6.9434e-01
1.0015e+00,1.7032e+00
8.1251e-01,1.8969e+00
1.4709e+00,1.7573e-01
1.1751e+00,1.1998e+00
1.3068e+00,7.8068e-01
1.3306e+00,5.6269e-01
1.4460e+00,4.2236e-01
1.0308e+00,1.5534e+00
8.2299e-01,1.9592e+00
1.0297e+00,1.5995e+00
1.3669e+00,7.6639e-01
1.1160e+00,1.4258e+00
1.3335e+00,1.0769e+00
1.2534e+00,1.0205e+00
1.3191e+00,8.8954e-01
1.0526e+00,1.4972e+00
9.0925e-01,1.8041e+00
1.3845e+00,8.4670e-01
1.4071e+00,7.6732e-01
1.3481e+00,4.8932e-01
1.2545e+00,1.2329e+00
1.1614e+00,1.3693e+00
1.0186e+00,1.6546e+00
1.1855e+00,1.3401e+00
1.3706e+00,7.2420e-01
1.2604e+00,9.5099e-01
1.4663e+00,1.8906e-01
1.4097e+00,7.1701e-01
1.3904e+00,3.8830e-01
1.2880e+00,9.3616e-01
1.3270e+00,1.0829e+00
1.0643e+00,1.5818e+00
1.2093e+00,1.0841e+00
1.2288e+00,1.3235e+00
1.2802e+00,9.7884e-01
1.4161e+00,5.0330e-01
1.1228e+00,1.4703e+00
1.1434e+00,1.4116e+00
9.5301e-01,1.6424e+00
1.4328e+00,5.3841e-01
1.1414e+00,1.4720e+00
1.3760e+00,6.4733e-01
8.4947e-01,1.9093e+00
1.1591e+00,1.3090e+00
1.3989e+00,6.9094e-01
1.1672e+00,1.2417e+00
1.0366e+00,1.5498e+00
1.3847e+00,6.9866e-01
1.5152e+00,5.6651e-02
1.0812e+00,1.5099e+00
1.2970e+00,8.9085e-01
1.2061e+00,1.3671e+00
1.3534e+00,6.8724e-01
8.2371e-01,1.9450e+00
9.1110e-01,1.7716e+00
9.6969e-01,1.6119e+00
9.1458e-01,1.8014e+00
1.2742e+00,1.2138e+00
1.2827e+00,1.0785e+00
1.2262e+00,1.3527e+00
1.3866e+00,5.7275e-01
1.1602e+00,1.4124e+00
1.4042e+00,3.6303e-01
1.0789e+00,1.6023e+00
1.3306e+00,9.9537e-01
1.4403e+00,3.6922e-01
8.0667e-01,1.9694e+00
1.1159e+00,1.5424e+00
1.3953e+00,4.8877e-01
1.1423e+00,1.2910e+00
1.4231e+00,3.4108e-01
1.3514e+00,5.5670e-01
1.4613e+00,1.9200e-01
1.3946e+00,3.9491e-01
1.4193e+00,4.7483e-01
1.2200e+00,1.2360e+00
1.4413e+00,4.8981e-01
1.3671e+00,9.8173e-01
1.3719e+00,9.1941e-01
1.3060e+00,9.8042e-01
1.2653e+00,9.0737e-01
1.2992e+00,1.0060e+00
1.0761e+00,1.4275e+00
1.3851e+00,7.5025e-01
1.4121e+00,3.8273e-01
1.2586e+00,9.2881e-01
1.4438e+00,1.8059e-01
1.3788e+00,4.5997e-01
1.2427e+00,9.9571e-01
1.2072e+00,1.1752e+00
1.2288e+00,1.1744e+00
1.3108e+00,9.2617e-01
1.2854e+00,7.9285e-01
1.4338e+00,5.2584e-01
1.0247e+00,1.6254e+00
1.3843e+00,5.2239e-01
1.0677e+00,1.5136e+00
1.3160e+00,8.2130e-01
1.3793e+00,3.9588e-01
1.3132e+00,6.6898e-01
1.4321e+00,2.3915e-01
8.6292e-01,1.8373e+00
1.4621e+00,1.3752e-01
1.4311e+00,2.2013e-01
8.0686e-01,1.9668e+00
8.4131e-01,1.9163e+00
1.3176e+00,6.3949e-01
1.0645e+00,1.4838e+00
1.4240e+00,5.3316e-01
1.4047e+00,6.5013e-01
1.1179e+00,1.5400e+00
8.5629e-01,1.9173e+00
1.2256e+00,1.1663e+00
1.0052e+00,1.5549e+00
1.1900e+00,1.2931e+00
1.1406e+00,1.2897e+00
1.2196e+00,1.1835e+00
1.3062e+00,9.4116e-01
1.4928e+00,5.6910e-02
9.1969e-01,1.7339e+00
1.3109e+00,9.2190e-01
1.3678e+00,5.6494e-01
1.3888e+00,8.5671e-01
1.2423e+00,1.2098e+00
1.1797e+00,1.2863e+00
1.0182e+00,1.6544e+00
1.1353e+00,1.3587e+00
7.8861e-01,1.9713e+00
1.1159e+00,1.4755e+00
1.5262e+00,4.6768e-02
1.3180e+00,1.0613e+00
8.5976e-01,1.8862e+00
1.3920e+00,7.0317e-01
1.0840e+00,1.4581e+00
1.4247e+00,5.5988e-01
1.1868e+00,1.2328e+00
1.5065e+00,6.6282e-02
1.3262e+00,7.8415e-01
1.3869e+00,6.2731e-01
1.5074e+00,3.3991e-02
1.2714e+00,1.1101e+00
1.4155e+00,5.4468e-01
7.8324e-01,1.9739e+00
1.4709e+00,1.1382e-01
1.2520e+00,1.0024e+00
1.2571e+00,1.2299e+00
1.3225e+00,6.7042e-01
1.3116e+00,6.7114e-01
1.2813e+00,1.0176e+00
1.3918e+00,6.2347e-01
1.3434e+00,6.3558e-01
1.3359e+00,6.9603e-01
1.3700e+00,6.4970e-01
1.3362e+00,7.6430e-01
1.0528e+00,1.5963e+00
1.4376e+00,5.1272e-01
1.2019e+00,1.2077e+00
1.0738e+00,1.6152e+00
1.3522e+00,9.5091e-01
1.4565e+00,1.5488e-01
1.4339e+00,4.9748e-01
8.4759e-01,1.9272e+00
1.0112e+00,1.5542e+00
1.3898e+00,5.1279e-01
1.2943e+00,8.3158e-01
1.4078e+00,4.1974e-01
1.2787e+00,1.1079e+00
1.4457e+00,4.1818e-01
1.3959e+00,7.8069e-01
1.1423e+00,1.3268e+00
1.5140e+00,3.1227e-02
1.3291e+00,6.2030e-01
1.3970e+00,4.1036e-01
1.0054e+00,1.7074e+00
1.0615e+00,1.4640e+00
1.2662e+00,1.1387e+00
1.2432e+00,1.0114e+00
8.5850e-01,1.9045e+00
1.0771e+00,1.4389e+00
1.0716e+00,1.6086e+00
1.2639e+00,1.0356e+00
1.2688e+00,8.4778e-01
1.2124e+00,1.3240e+00
1.3736e+00,4.0286e-01
1.3330e+00,1.0464e+00
1.0097e+00,1.5454e+00
1.4807e+00,2.1645e-01
1.1441e+00,1.4551e+00
1.2122e+00,1.1511e+00
