# X, Y, Luminosity, Color
-1.1110e+00,3.4519e+00,1.3627e+00,6.5320e-01
5.6352e-01,5.3091e+00,1.3279e+00,6.8950e-01
-6.8754e+00,-7.2747e+00,1.0815e+00,1.4677e+00
9.9002e+00,-1.3436e+01,1.1911e+00,1.2652e+00
-3.9710e+00,-9.3627e+00,1.4355e+00,2.0172e-01
-4.6354e+00,-2.0047e+00,1.4048e+00,4.9125e-01
-2.1013e+00,3.8653e+00,1.2186e+00,1.1099e+00
-3.0534e+00,-9.6507e+00,1.2941e+00,1.1557e+00
-6.9289e+00,-2.8758e+00,1.3693e+00,4.3405e-01
1.3486e+01,-1.2298e+01,1.3888e+00,5.1852e-01
-4.8968e-01,6.8034e-01,1.3982e+00,5.7722e-01
-6.0202e+00,-7.1358e+00,1.3085e+00,8.1786e-01
-5.7094e+00,7.2970e-02,1.4262e+00,3.8445e-01
3.6568e+00,-1.3204e+01,8.9231e-01,1.7600e+00
-4.0202e+00,2.5321e+00,1.4134e+00,2.8677e-01
-7.0557e+00,-5.2854e+00,1.1830e+00,1.1913e+00
-5.5026e+00,-4.6988e+00,1.0540e+00,1.6301e+00
8.0017e+00,-1.3867e+01,9.7898e-01,1.7032e+00
-4.3084e-01,4.2157e+00,1.0684e+00,1.5099e+00
-4.4255e+00,-6.3902e+00,1.3748e+00,5.0590e-01
-3.2098e+00,1.9271e+00,1.3366e+00,1.0067e+00
2.4774e+00,2.7249e+00,1.3923e+00,7.6452e-01
-1.6658e+00,1.8986e+00,1.1897e+00,1.3409e+00
-4.2830e+00,1.9572e+00,8.9889e-01,1.7924e+00
8.5811e+00,-1.3261e+01,8.9639e-01,1.7684e+00
-1.0941e+00,-8.9419e-01,1.3399e+00,9.7489e-01
-5.8319e+00,-4.4001e+00,8.8182e-01,1.8533e+00
-6.1507e+00,-3.5561e+00,1.1368e+00,1.2707e+00
5.8447e+00,-1.3150e+01,1.2278e+00,1.1287e+00
-5.4123e+00,1.9348e-01,1.4331e+00,2.0785e-01
1.1176e+01,-1.3051e+01,1.1665e+00,1.2476e+00
1.3919e+01,-1.2213e+01,1.2867e+00,9.7022e-01
5.2749e-02,6.1751e-01,1.0918e+00,1.4672e+00
-6.3423e+00,-2.5316e+00,1.1646e+00,1.3333e+00
-4.3199e+00,9.1104e-01,1.1655e+00,1.3987e+00
-1.7978e+00,4.1878e+00,1.1942e+00,1.3701e+00
-2.7195e+00,-1.7691e-02,1.3247e+00,9.9254e-01
2.1751e+00,7.9835e-01,1.1511e+00,1.2745e+00
-3.7512e+00,3.3084e+00,1.2250e+00,1.3068e+00
-5.9435e+00,-5.5312e+00,1.1427e+00,1.3161e+00
-2.1336e+00,1.5980e+00,1.2445e+00,9.9829e-01
2.2496e+01,-5.0688e+00,1.3316e+00,8.6689e-01
-5.7597e+00,4.2870e-01,1.3612e+00,8.5359e-01
-1.9962e+00,9.0364e-01,1.3348e+00,7.1474e-01
-1.1666e+00,2.3920e+00,1.3063e+00,1.1411e+00
-2.8219e+00,2.5036e+00,1.1870e+00,1.4153e+00
-1.7443e+00,-1.0067e+01,1.3012e+00,8.1578e-01
1.2850e-02,-2.0259e-01,1.4825e+00,1.5865e-01
8.4937e-01,4.1738e-01,1.4127e+00,3.5361e-01
1.6128e+00,2.3182e+00,1.4367e+00,3.9659e-01
-5.8007e+00,-2.4436e+00,1.3562e+00,4.6476e-01
-1.8838e+00,2.6380e+00,9.0210e-01,1.8217e+00
-2.9106e+00,-9.2813e+00,1.4242e+00,4.0164e-01
-7.2793e-01,7.2540e-01,9.8985e-01,1.6986e+00
-2.2730e+00,2.0872e+00,1.3995e+00,7.1143e-01
-1.3633e-01,2.5222e+00,8.1211e-01,1.9772e+00
-4.4324e+00,-8.1895e+00,1.0626e+00,1.5158e+00
1.4587e+01,-1.1256e+01,1.1385e+00,1.4397e+00
-4.2370e-01,-9.9683e+00,1.3683e+00,7.8852e-01
1.1337e+01,-1.3234e+01,1.3186e+00,1.0424e+00
6.8912e-01,1.8600e+00,1.2298e+00,1.1786e+00
3.8252e+00,2.6528e+00,1.4010e+00,6.9477e-01
-3.5422e+00,2.5512e+00,1.3684e+00,8.2435e-01
-6.2330e+00,-2.6058e+00,1.3281e+00,8.2232e-01
-2.6118e-01,-3.0449e+00,1.1695e+00,1.2597e+00
3.0032e+00,1.9492e+00,1.2519e+00,1.0126e+00
-2.5238e+00,-8.6549e+00,1.2757e+00,1.0962e+00
-1.9988e+00,-9.0787e+00,1.3617e+00,9.0148e-01
8.1627e-01,-1.3330e+01,1.4340e+00,1.8833e-01
-4.4600e+00,1.7185e+00,9.0994e-01,1.7903e+00
9.0091e-01,-2.4737e-01,1.0554e+00,1.5019e+00
3.3699e+00,-1.3846e+01,1.4051e+00,4.4105e-01
1.0294e+01,-1.2744e+01,1.3286e+00,8.2214e-01
-2.7171e+00,9.0146e-01,1.0817e+00,1.5420e+00
2.5826e+01,-1.3760e+00,1.4564e+00,3.4297e-01
-6.6729e+00,-6.0842e-01,1.4214e+00,5.2058e-01
-5.6821e+00,-7.5050e+00,1.2871e+00,7.9681e-01
-3.8281e+00,2.6290e-01,1.1722e+00,1.2647e+00
4.3550e+00,1.2440e+00,1.4852e+00,8.1074e-02
-2.2669e+00,-2.6832e-01,1.0601e+00,1.4585e+00
6.9188e+00,-1.3566e+01,1.3522e+00,8.3358e-01
-3.1671e+00,1.7560e+00,1.4055e+00,4.6216e-01
-3.1075e+00,-1.0627e+01,1.1312e+00,1.3789e+00
-9.5561e-01,2.3189e+00,1.0962e+00,1.4539e+00
-4.8654e+00,-1.0193e-01,1.2447e+00,1.1123e+00
-7.2799e+00,-2.7094e+00,1.4100e+00,3.9736e-01
-1.7770e+00,4.1267e+00,8.2735e-01,1.9392e+00
-4.5117e+00,2.9730e-01,1.3759e+00,7.0982e-01
-2.7275e+00,-1.0841e+01,1.1605e+00,1.3879e+00
-6.6497e+00,-1.0831e+00,1.2774e+00,1.2210e+00
1.4274e+01,-1.1257e+01,1.3842e+00,4.1363e-01
-2.0532e+00,1.6210e+00,9.7523e-01,1.7445e+00
-6.9475e+00,-3.5068e+00,1.4193e+00,5.5742e-01
-7.5007e+00,-3.1559e+00,1.2452e+00,9.9357e-01
3.5829e-01,6.4539e-01,1.2415e+00,1.1850e+00
1.2350e+00,3.1844e+00,1.2374e+00,1.1444e+00
-5.0207e+00,-7.2381e+00,1.0364e+00,1.5137e+00
-3.0910e+00,8.3552e-01,1.4425e+00,3.4120e-01
2.0697e+00,3.7160e+00,1.0225e+00,1.5457e+00
4.1366e-01,1.5564e+00,1.3806e+00,6.7152e-01
-7.4217e-01,-1.2199e+01,1.3344e+00,6.0773e-01
-1.9466e+00,1.7423e+00,1.2521e+00,1.0011e+00
-3.2256e-01,2.7876e+00,7.9016e-01,1.9486e+00
-1.0530e-01,-1.1439e+01,1.4361e+00,2.5553e-01
-2.7388e+00,3.3193e+00,1.2963e+00,9.3864e-01
7.8199e+00,-1.3422e+01,1.2163e+00,1.2996e+00
6.0816e-01,1.6317e+00,1.2077e+00,1.1711e+00
-7.5459e-01,1.7548e+00,1.3975e+00,4.8530e-01
-5.6938e+00,-6.1274e+00,1.2630e+00,1.0010e+00
-4.8766e+00,-5.3698e+00,1.0274e+00,1.6624e+00
-1.1429e+00,1.5484e+00,1.4143e+00,3.8974e-01
-3.2877e+00,2.2884e+00,1.1943e+00,1.2194e+00
-4.8184e+00,-7.7104e+00,1.3016e+00,9.0280e-01
-5.3838e+00,6.2096e-01,1.0509e+00,1.6082e+00
-2.0031e+00,7.7874e-01,1.4791e+00,1.4037e-01
-5.7807e+00,-1.5960e+00,1.5343e+00,1.2842e-02
-1.8716e+00,1.0416e+00,1.4838e+00,1.7465e-01
-5.5020e+00,-4.9449e+00,1.2510e+00,1.2146e+00
-6.1056e+00,-9.1500e-01,1.2508e+00,1.2508e+00
-4.9183e+00,-2.8653e+00,1.3010e+00,1.0862e+00
4.4024e-01,1.3913e+00,1.4215e+00,5.6759e-01
9.1766e-01,5.0123e+00,1.0950e+00,1.5090e+00
-3.2853e+00,1.9284e+00,1.3004e+00,1.0575e+00
-5.6404e+00,-5.8042e+00,1.3211e+00,8.4315e-01
-1.5990e+00,1.1462e+00,1.4061e+00,6.6698e-01
5.3288e-01,2.8644e+00,1.1243e+00,1.5274e+00
-6.2548e+00,-5.8480e+00,1.3414e+00,6.9875e-01
-2.3904e+00,2.2823e+00,1.4220e+00,6.1294e-01
-4.1203e+00,-1.4104e+00,1.1190e+00,1.4236e+00
3.5291e+00,4.9754e+00,1.3060e+00,8.9963e-01
2.8717e+00,-1.3261e+01,1.3692e+00,6.2018e-01
-1.8927e-01,3.2942e+00,9.8950e-01,1.6646e+00
-3.4320e+00,1.3327e+00,9.5240e-01,1.7207e+00
-3.6967e+00,-2.5135e+00,1.3917e+00,6.2677e-01
4.5124e+00,-1.2665e+01,1.2311e+00,9.9380e-01
-5.5149e+00,1.7462e+00,1.1873e+00,1.4199e+00
-5.9764e+00,-2.7981e+00,1.0334e+00,1.5422e+00
-8.4434e-01,3.9765e+00,1.3140e+00,9.0115e-01
2.7897e-01,-1.4390e+00,1.3758e+00,8.9414e-01
-5.3463e+00,1.1599e+00,1.3494e+00,7.2353e-01
-2.0230e+00,8.9895e-01,1.4598e+00,1.7891e-01
1.5922e+01,-1.0206e+01,1.2971e+00,8.1361e-01
-4.4013e+00,-3.1799e+00,1.3378e+00,9.6624e-01
-6.0408e+00,-5.2664e+00,1.1739e+00,1.2581e+00
-4.4339e+00,-8.5839e+00,1.1468e+00,1.2691e+00
2.0015e-01,-1.4033e-01,1.3839e+00,7.2602e-01
2.7374e+00,-1.2588e+01,1.1008e+00,1.4515e+00
-4.8212e+00,-3.7346e+00,8.8120e-01,1.8643e+00
1.4371e+01,-1.1785e+01,1.3164e+00,1.0666e+00
-1.1327e+00,1.8548e+00,1.3779e+00,3.6950e-01
-3.8083e+00,1.1436e+00,9.5169e-01,1.7027e+00
7.6390e+00,-1.3430e+01,1.3035e+00,9.4648e-01
-8.8766e-01,1.3424e+00,1.2822e+00,8.8137e-01
-1.3434e+00,4.1000e+00,1.2130e+00,1.3344e+00
-2.4808e-01,-9.3845e-01,1.2973e+00,1.0782e+00
-2.4999e+00,1.8957e+00,1.1358e+00,1.3235e+00
4.5119e+00,-1.2239e+01,1.3769e+00,7.8060e-01
2.1804e+01,-7.7255e+00,1.0169e+00,1.6471e+00
-4.4569e+00,-6.1281e+00,1.0728e+00,1.6075e+00
-3.2491e+00,6.7140e-02,1.3181e+00,9.2856e-01
4.0383e+00,-1.2534e+01,8.0526e-01,1.9049e+00
1.1737e+01,-1.2577e+01,8.9199e-01,1.8363e+00
6.5972e-02,3.8555e+00,1.1964e+00,1.2778e+00
9.6273e+00,-1.3281e+01,1.2944e+00,1.1249e+00
-6.1166e+00,-6.5541e+00,1.3619e+00,5.5495e-01
-1.7668e+00,-9.9892e+00,1.4254e+00,5.6287e-01
-5.9778e+00,-5.2555e+00,1.2524e+00,1.0152e+00
3.2134e+00,2.7770e+00,1.2179e+00,1.0765e+00
1.9788e-02,-1.4587e+00,1.0264e+00,1.5398e+00
-4.0210e+00,-4.9909e-01,1.3458e+00,5.4375e-01
4.7026e-01,-5.0477e-01,1.2212e+00,1.2727e+00
1.1317e-01,-1.1666e+01,9.2135e-01,1.7192e+00
-3.9553e+00,6.3489e-01,9.0990e-01,1.7652e+00
2.1245e+01,-6.5201e+00,1.2710e+00,1.2288e+00
-3.5089e-01,2.7823e-01,1.4108e+00,3.9286e-01
-4.2438e+00,-8.2409e+00,1.3590e+00,5.7731e-01
3.7681e-01,2.7803e+00,1.4228e+00,4.7942e-01
-5.9808e-02,1.5855e+00,1.2648e+00,9.5973e-01
1.4235e+00,2.9869e+00,1.1716e+00,1.1898e+00
9.6123e+00,-1.2744e+01,1.3762e+00,6.0629e-01
4.5239e+00,-1.3379e+01,1.1994e+00,1.3383e+00
-6.0435e+00,-3.2235e+00,1.3064e+00,7.4255e-01
-1.7776e+00,1.1528e+00,1.4134e+00,4.8129e-01
-2.9081e-02,2.0284e+00,1.1694e+00,1.2861e+00
1.9974e+01,-8.6591e+00,1.5092e+00,3.6316e-02
-4.6677e+00,-7.6099e+00,8.0315e-01,1.9591e+00
-2.9223e+00,2.5106e+00,1.1707e+00,1.3860e+00
-5.1074e+00,1.1054e+00,1.0765e+00,1.4369e+00
-7.0420e+00,-1.4033e+00,1.2834e+00,1.0279e+00
1.4362e+00,1.6264e+00,9.1460e-01,1.8130e+00
1.8271e-01,-4.9162e-02,1.3372e+00,5.5611e-01
-1.6187e+00,2.4589e+00,1.3905e+00,5.6929e-01
-1.0876e+00,2.6075e+00,1.0765e+00,1.5917e+00
3.4840e+00,-1.3466e+01,1.3163e+00,1.0791e+00
2.2912e+01,-5.4124e+00,1.3651e+00,4.4502e-01
-2.8064e+00,1.8424e+00,1.4060e+00,4.0660e-01
2.4956e-01,-5.0635e-01,1.4376e+00,1.9187e-01
-4.3003e+00,1.8599e+00,1.2874e+00,8.0651e-01
-1.7978e-01,2.4834e+00,1.4464e+00,4.2819e-01
-6.7448e+00,-1.2395e+00,1.4094e+00,3.9327e-01
-4.1616e+00,-5.1043e+00,1.0319e+00,1.6131e+00
-2.0896e+00,-1.8217e+00,1.2279e+00,1.1129e+00
8.0836e-01,2.5598e+00,1.1119e+00,1.4019e+00
3.7193e+00,-1.2587e+01,1.2243e+00,1.2069e+00
-4.0975e+00,-2.5260e+00,1.2889e+00,1.0699e+00
-6.0815e-02,1.2773e+00,1.4044e+00,4.0163e-01
-4.8510e+00,-1.2383e+00,1.3928e+00,4.6841e-01
-6.1091e-01,3.1813e+00,1.3533e+00,7.2981e-01
2.0838e+01,-9.0388e+00,1.3419e+00,7.8894e-01
-2.4587e+00,9.5469e-02,8.1821e-01,1.9577e+00
-1.3249e+00,1.4836e+00,9.9340e-01,1.6922e+00
-5.2556e+00,2.7749e+00,9.4789e-01,1.6693e+00
-8.9479e-01,2.1300e-01,1.1928e+00,1.1298e+00
-4.7886e+00,2.3118e+00,9.8264e-01,1.6097e+00
-7.2008e-01,-1.0737e+01,1.4205e+00,2.6398e-01
-5.9054e+00,3.4097e-01,9.8691e-01,1.7016e+00
-5.1615e+00,-7.4929e+00,1.3163e+00,1.1470e+00
1.0721e+01,-1.3156e+01,9.9573e-01,1.5942e+00
-7.7113e-01,-2.8454e-01,1.2286e+00,1.0053e+00
-2.3307e+00,-1.3172e+00,1.3895e+00,5.2947e-01
-1.1237e+00,1.7967e+00,1.1308e+00,1.4664e+00
-2.6902e+00,2.4043e+00,1.4028e+00,6.3886e-01
3.4020e+00,8.7409e-01,9.4861e-01,1.7334e+00
-1.6094e+00,-8.7842e-01,8.5764e-01,1.8813e+00
-4.6396e+00,-7.7371e+00,1.1261e+00,1.5055e+00
-2.3130e+00,3.7190e+00,8.3971e-01,1.9128e+00
2.9121e-01,-1.1491e+01,1.4196e+00,5.9376e-01
3.9511e-01,3.9198e+00,7.9483e-01,1.9520e+00
1.8626e+00,-1.1274e+01,1.3735e+00,9.2396e-01
-3.9124e+00,-6.5299e-01,1.4466e+00,2.3701e-01
1.7961e+00,2.0954e+00,1.2125e+00,1.3254e+00
1.0378e+01,-1.3625e+01,1.3278e+00,1.0838e+00
-5.4526e+00,6.9018e-01,1.1343e+00,1.3290e+00
-2.5037e+00,2.3996e+00,1.1482e+00,1.4398e+00
1.0984e+00,-3.5809e-01,9.3284e-01,1.7371e+00
5.8891e-01,-1.0694e+01,1.0968e+00,1.3847e+00
-3.5027e-01,-1.2684e+01,1.3878e+00,8.0817e-01
1.5814e+00,3.4365e-01,1.2928e+00,1.0648e+00
-3.0990e+00,1.6936e+00,9.0482e-01,1.7315e+00
2.0640e+00,3.3055e+00,1.0989e+00,1.5067e+00
-1.6499e+00,2.7382e+00,7.7186e-01,1.9698e+00
-6.1242e+00,-5.3966e+00,1.3586e+00,5.8513e-01
-3.1649e+00,4.2134e+00,1.4357e+00,4.5117e-01
6.4547e+00,-1.3974e+01,1.2731e+00,8.5684e-01
-1.6612e+00,3.7018e-01,1.0874e+00,1.4712e+00
-1.8488e-02,-3.4108e-02,1.3954e+00,5.1981e-01
5.5961e+00,2.8524e-01,7.9799e-01,1.9432e+00
1.6993e-01,3.8730e+00,1.1393e+00,1.3790e+00
-2.8672e+00,1.3220e+00,1.3263e+00,9.1045e-01
-1.5681e+00,2.0213e+00,1.4427e+00,2.8998e-01
-4.7777e+00,-7.3867e+00,1.4095e+00,2.8636e-01
-2.5564e+00,-1.0349e+01,1.2779e+00,9.6544e-01
-2.2958e+00,2.1742e+00,8.8742e-01,1.7660e+00
-6.0144e-01,3.2659e+00,9.4914e-01,1.7264e+00
4.1588e+00,-7.6171e-01,1.4137e+00,4.6071e-01
7.3748e+00,-1.4003e+01,1.2360e+00,1.2023e+00
2.0236e+01,-6.6255e+00,8.3823e-01,1.8614e+00
1.8924e+00,-1.1553e+01,1.1009e+00,1.5533e+00
2.3214e+00,2.1057e+00,1.3530e+00,9.9541e-01
6.3548e+00,-1.3661e+01,1.3050e+00,7.9827e-01
-2.0570e+00,3.2095e+00,1.4405e+00,3.3652e-01
9.5191e-01,1.6971e+00,1.3735e+00,9.4605e-01
-5.9789e-01,1.6183e+00,1.2404e+00,1.1046e+00
1.2727e+01,-1.2160e+01,1.4404e+00,3.0615e-01
3.0726e+00,1.5195e+00,9.9341e-01,1.7319e+00
1.7421e+00,2.1018e+00,1.2770e+00,9.8603e-01
2.2555e+01,-6.3025e+00,8.8002e-01,1.8434e+00
7.5866e+00,-1.3911e+01,1.1017e+00,1.4129e+00
1.2502e+01,-1.3050e+01,1.2102e+00,1.3790e+00
2.6782e+01,-9.9326e-02,1.0118e+00,1.5652e+00
-1.7029e+00,2.7445e+00,1.3463e+00,4.9709e-01
-1.4871e+00,-2.6411e+00,1.3056e+00,8.9430e-01
6.9312e+00,-1.3511e+01,1.3236e+00,1.0944e+00
-4.3509e+00,-7.6573e+00,1.3651e+00,5.8342e-01
-1.4291e+00,-1.0168e+01,7.4794e-01,1.9927e+00
-4.6549e+00,-3.4742e+00,1.4046e+00,3.5293e-01
1.3580e-01,-1.2415e+01,1.1752e+00,1.1790e+00
3.4564e+00,-1.3368e+01,1.4422e+00,3.2363e-01
5.7152e+00,-1.3581e+01,1.2530e+00,1.2887e+00
-1.3380e-01,2.2362e-02,1.1930e+00,1.1445e+00
-4.5273e+00,6.8993e-01,1.3159e+00,9.5529e-01
-5.4594e-01,2.1264e+00,8.4097e-01,1.9418e+00
2.3576e+00,-1.3379e+01,1.4001e+00,5.2903e-01
3.8399e+00,-1.7815e+00,1.1515e+00,1.3718e+00
-3.4032e+00,-9.4090e+00,1.0688e+00,1.6022e+00
-2.6832e+00,-8.0254e+00,1.4031e+00,6.4787e-01
-2.0418e+00,3.4895e+00,1.3995e+00,4.4714e-01
-1.2177e-01,1.3831e+00,1.2504e+00,1.2811e+00
1.5864e+01,-1.1060e+01,1.2731e+00,1.1560e+00
-1.6488e-01,3.0135e+00,1.1943e+00,1.2810e+00
1.5531e+00,2.3410e+00,1.4944e+00,5.9253e-02
-2.1337e-01,2.4874e+00,1.2572e+00,1.0679e+00
-5.4087e+00,-4.9385e+00,1.2803e+00,8.5221e-01
1.0417e+00,-1.2258e+00,8.0142e-01,1.9664e+00
-3.8451e+00,2.5379e-01,1.1410e+00,1.4344e+00
1.7788e+00,-7.3057e-01,1.3346e+00,1.0654e+00
2.5153e+01,-4.1244e+00,1.5111e+00,6.2274e-02
-5.8568e-01,3.1834e+00,1.3917e+00,4.4856e-01
-1.6102e+00,2.7198e+00,1.0503e+00,1.4924e+00
-3.6785e-01,2.7481e+00,1.3694e+00,4.2307e-01
7.4806e+00,-1.3598e+01,1.3573e+00,5.7439e-01
-5.2800e+00,-2.7914e+00,1.2603e+00,1.0358e+00
-4.8733e+00,-3.7755e+00,1.3967e+00,4.6757e-01
-3.3461e+00,2.8144e+00,1.1254e+00,1.3215e+00
-3.3506e+00,1.0302e+00,1.2977e+00,7.7194e-01
-2.3616e+00,1.1800e+00,8.1865e-01,1.9257e+00
4.7239e+00,-1.2055e+01,9.1584e-01,1.8294e+00
-4.9910e+00,-6.8306e+00,1.1246e+00,1.3610e+00
2.3656e+01,-3.5155e+00,1.4763e+00,1.0387e-01
1.0102e+00,-1.1639e+01,1.3577e+00,6.9573e-01
1.7918e+01,-1.0279e+01,1.4016e+00,5.1741e-01
2.0775e+01,-7.5080e+00,1.3813e+00,6.1165e-01
1.0183e+00,2.1025e+00,1.1404e+00,1.3936e+00
-8.0424e-01,-1.2171e+01,1.2027e+00,1.1570e+00
-1.4049e+00,4.5391e+00,1.3097e+00,1.1019e+00
4.3404e+00,2.6463e-01,1.0708e+00,1.6098e+00
-4.2179e+00,-8.0619e+00,1.0842e+00,1.5844e+00
8.8343e+00,-1.3727e+01,1.2646e+00,1.1063e+00
-5.0287e+00,-8.2082e+00,1.4296e+00,3.6718e-01
-3.9793e+00,1.5568e-01,1.2607e+00,8.8879e-01
-3.6508e-01,3.2362e+00,1.4621e+00,2.3464e-01
-5.5879e+00,-3.9702e+00,1.3993e+00,6.4036e-01
6.0722e+00,-1.2873e+01,1.2761e+00,9.9933e-01
1.1749e+00,2.7544e+00,1.0874e+00,1.5686e+00
-1.6821e+00,3.8891e+00,1.3239e+00,1.1082e+00
-3.9638e+00,-6.2159e+00,8.7372e-01,1.7773e+00
2.1993e+01,-6.4315e+00,1.1014e+00,1.5083e+00
3.0450e-01,5.8882e-01,1.3206e+00,9.1651e-01
1.2950e+00,-7.7777e-01,1.4204e+00,3.6459e-01
8.4087e+00,-1.3732e+01,1.4629e+00,1.2026e-01
7.1724e+00,-1.3357e+01,1.1936e+00,1.1639e+00
2.3192e+01,-5.2260e+00,1.1745e+00,1.3644e+00
-1.9852e+00,1.9047e+00,1.2860e+00,1.1149e+00
-4.7079e+00,-1.6304e+00,1.4415e+00,2.0470e-01
1.1550e+01,-1.1821e+01,1.4629e+00,2.1675e-01
2.6020e+01,-1.2250e+00,1.3532e+00,8.4676e-01
-1.1463e+00,3.4362e+00,1.0584e+00,1.5078e+00
-3.3330e+00,2.0034e+00,1.3306e+00,8.5027e-01
1.0858e+00,3.0728e+00,1.3765e+00,5.3487e-01
-3.9043e+00,1.3627e+00,1.4223e+00,3.0793e-01
1.9615e+01,-8.5614e+00,1.2444e+00,1.3063e+00
-4.3848e+00,1.7676e+00,1.4318e+00,5.2207e-01
-1.1002e-01,-1.1087e+01,1.2662e+00,8.9855e-01
2.2730e+01,-5.8940e+00,1.2077e+00,1.0913e+00
1.1718e+00,9.4776e-01,1.4419e+00,4.0561e-01
-4.2314e+00,1.9501e+00,9.2336e-01,1.8107e+00
-2.3083e+00,1.0658e+00,1.0042e+00,1.5685e+00
5.6976e-01,-1.2657e+01,1.1367e+00,1.3395e+00
-7.5014e+00,-3.6851e+00,1.2474e+00,1.1763e+00
1.6147e+01,-1.1160e+01,1.4178e+00,6.5756e-01
-1.1857e+00,-1.1467e+01,9.2335e-01,1.8300e+00
-4.5876e+00,-6.9491e+00,8.6261e-01,1.8261e+00
-1.2764e+00,8.1019e-01,1.4201e+00,4.6087e-01
-3.2583e+00,-8.1448e+00,1.1290e+00,1.4956e+00
-2.8404e-01,5.5161e+00,1.1826e+00,1.3877e+00
2.6506e+01,-8.4120e-02,1.2554e+00,9.8199e-01
2.6185e+01,-8.8424e-01,1.4965e+00,1.4437e-01
-1.1916e+00,5.7038e-01,1.2986e+00,1.1923e+00
-2.3696e+00,-9.2058e+00,1.5009e+00,6.7305e-02
8.8755e-01,-4.9623e-01,8.3204e-01,1.9316e+00
-5.9375e+00,-2.5588e+00,1.3932e+00,5.7759e-01
-1.5919e+00,3.2830e+00,1.4225e+00,6.7096e-01
-4.1465e+00,-6.3606e+00,1.2958e+00,1.1213e+00
2.4506e+01,-3.3493e+00,1.4688e+00,1.4825e-01
-3.3412e+00,3.7280e+00,1.2207e+00,1.2028e+00
7.4101e-01,1.7985e+00,1.3849e+00,7.4338e-01
-8.3241e-01,2.0887e+00,1.3743e+00,9.1188e-01
-7.5162e-01,1.5759e+00,1.1467e+00,1.2557e+00
2.8501e-02,3.1432e+00,1.0936e+00,1.4354e+00
8.2150e-01,2.0705e+00,1.2410e+00,1.3197e+00
